Rank,Title,Studio,BO,Op,Open,Close,RT,Tag,Cat,ID
140,Lowriders,BH Tilt,6303560,2403885,5/12/18,6/29/18,55,3,Independent,8
141,Maudie,Sony ScreenGems,6170998,45920,4/14/18,11/16/18,88,5,Independent,4
142,Just Getting Started,BG,5973430,3201459,12/8/18,-,5,1,Independent,8
143,All Saints,Sony,5802208,1514278,8/25/18,10/26/18,93,5,Sony,4
144,Suburbicon,Paramount,5775178,2840246,10/27/18,11/16/18,28,2,Paramount,5
145,The Man Who Invented Christmas,BST,5673756,1357129,11/22/18,-,80,4,Independent,8
146,Paris Can Wait,Sony ScreenGems,5617731,98850,5/12/18,9/28/18,49,3,Independent,4
147,Tiger Zinda Hai,Yash,5560921,1787108,12/22/18,-,67,4,Independent,8
148,The Florida Project,A24,5532789,157553,10/6/18,-,96,5,Independent,8
149,Your Name.,FUNimation Films,5017246,1813781,4/7/18,7/27/18,98,5,Independent,8
